param,i,j,value
r_e,0,0,0.11831189586264212
r_e,1,1,0.08341482874113955
r_e,2,2,0.04386898951229944
r_w,0,0,0.3592042918548968
r_w,1,1,0.030620650105958387
r_w,2,2,0.052857696086573064
r_b,0,0,0.002597142425249531
r_b,0,1,0.37294564603310787
r_b,0,2,0.1306730261588873
r_b,1,0,0.09941275111475296
r_b,1,1,0.020732404827715364
r_b,1,2,0.10962885734775539
r_b,2,0,0.028538775278564407
r_b,2,1,0.18815359532201512
r_b,2,2,0.15443151321761514
r_d,0,0,0.03940835303239787
r_d,0,1,0.14101775675306374
r_d,0,2,0.005683294670365132
r_d,1,0,0.13019412614077783
r_d,1,1,0.014291154734450954
r_d,1,2,0.16637362067210196
r_d,2,0,0.00797941821456361
r_d,2,1,0.10035574201979952
r_d,2,2,0.4720548413909792
