name,mean,sd
n_taxa,413.84836,89.40149
tree_length,580.8727,141.06085
tree_height,7.745924,1.6773386
brlen_mean,0.7288772,0.190237
brlen_var,0.551593,0.27683055
age_mean,7.745924,1.6773386
age_var,2.63124e-30,1.0
B1,222.58354,48.23807
N_bar,10.9762,0.8074966
colless,0.023833599,0.006901691
treeness,0.5142964,0.023511933
n_char_0,176.26639,75.39008
n_char_1,176.12341,73.59213
n_char_2,176.22997,73.97079
n_state_100,126.66712,69.29252
n_state_010,126.437614,66.48512
n_state_001,126.76776,68.06613
n_state_110,18.166666,12.792656
n_state_101,17.943079,12.787623
n_state_011,18.0296,12.818421
n_state_111,13.489527,20.174395
