param,i,j,value
w,0,0,0.0429171664
w,1,1,0.0429171664
w,2,2,0.0429171664
e,0,0,0.0531907582
e,1,1,0.0531907582
e,2,2,0.0531907582
d,0,0,0.0133845237
d,0,1,0.0133845237
d,0,2,0.0133845237
d,1,0,0.0133845237
d,1,1,0.0133845237
d,1,2,0.0133845237
d,2,0,0.0133845237
d,2,1,0.0133845237
d,2,2,0.0133845237
b,0,0,0.3014001171
b,0,1,0.3014001171
b,0,2,0.3014001171
b,1,0,0.3014001171
b,1,1,0.3014001171
b,1,2,0.3014001171
b,2,0,0.3014001171
b,2,1,0.3014001171
b,2,2,0.3014001171
x,0,0,0.0531907582
x,1,1,0.0531907582
x,2,2,0.0531907582
