taxa,region1,region2
Liolaemus_abaucan,1,1
Liolaemus_albiceps,1,0
Liolaemus_anomalus,0,1
Liolaemus_azarai,0,1
Liolaemus_boulengeri,1,0
Liolaemus_calchaqui,1,0
Liolaemus_canqueli,1,0
Liolaemus_chacoensis,0,1
Liolaemus_chehuachekenk,1,0
Liolaemus_crepuscularis,1,0
Liolaemus_cuyanus,0,1
Liolaemus_cuyumhue,1,0
Liolaemus_darwinii,0,1
Liolaemus_donosobarrosi,0,1
Liolaemus_espinozai,1,0
Liolaemus_fitzingerii,1,0
Liolaemus_goetschi,1,0
Liolaemus_grosseorum,1,1
Liolaemus_hermannunezi,1,0
Liolaemus_inacayali,1,0
Liolaemus_irregularis,1,0
Liolaemus_josei,1,1
Liolaemus_koslowskyi,0,1
Liolaemus_laurenti,0,1
Liolaemus_lavillai,1,0
Liolaemus_lentus,0,1
Liolaemus_loboi,1,0
Liolaemus_lutzae,0,1
Liolaemus_mapuche,1,0
Liolaemus_martorii,1,0
Liolaemus_melanops,1,0
Liolaemus_morenoi,1,0
Liolaemus_multimaculatus,1,1
Liolaemus_occipitalis,0,1
Liolaemus_olongasta,0,1
Liolaemus_ornatus,1,0
Liolaemus_pseudoanomalus,0,1
Liolaemus_puelche,0,1
Liolaemus_quilmes,1,1
Liolaemus_riojanus,0,1
Liolaemus_rothi,1,0
Liolaemus_sagei,1,0
Liolaemus_salinicola,0,1
Liolaemus_scapularis,1,1
Liolaemus_senguer,1,0
Liolaemus_sitesi,1,0
Liolaemus_tehuelche,1,0
Liolaemus_telsen,1,0
Liolaemus_tromen,1,0
Liolaemus_uspallatensis,1,0
Liolaemus_wiegmannii,0,1
Liolaemus_xanthoviridis,1,0
