taxa,data
8,1
11,0
16,0
17,1
24,0
26,0
51,1
65,1
74,1
81,1
82,0
84,0
86,1
87,1
93,1
95,1
101,1
105,1
112,0
119,1
125,1
130,1
133,0
177,1
183,1
185,0
198,1
200,1
213,1
214,1
215,1
220,1
232,1
238,1
239,1
254,0
258,1
266,0
267,1
280,1
287,0
290,1
292,0
294,1
296,0
297,0
299,1
302,1
319,1
320,0
327,1
328,0
336,0
338,1
355,1
359,0
368,0
379,0
387,1
388,1
389,1
392,0
395,1
405,1
406,1
410,0
412,1
428,1
433,1
440,1
446,1
451,1
469,0
492,1
499,1
506,1
520,1
523,1
526,1
528,0
535,1
538,0
541,1
559,0
563,0
567,1
576,1
601,1
602,1
619,0
620,1
627,0
636,1
654,0
663,0
671,1
673,0
680,1
684,1
685,0
687,1
700,0
703,1
706,1
709,1
714,0
720,0
722,1
740,0
748,1
751,1
757,1
758,1
769,0
780,1
781,1
782,1
789,1
798,1
800,1
809,0
817,1
820,0
823,1
827,1
835,1
870,1
871,1
880,1
882,1
892,1
895,1
905,1
914,0
923,1
924,0
925,0
932,1
943,1
946,0
977,1
978,1
979,1
985,1
1003,0
1008,1
1026,1
1028,1
1029,1
1032,0
1033,0
1039,0
1046,1
1053,1
1056,1
1059,1
1062,1
1066,1
1076,1
1090,1
1098,1
1106,1
1107,1
1120,1
1133,1
1134,1
1135,1
1148,1
1165,0
1173,1
1178,1
1182,0
1190,0
1204,1
1205,1
1206,1
1219,1
1226,0
1227,1
1229,1
1232,1
1238,1
1242,0
1250,1
1253,1
1267,1
1271,1
1286,0
1301,0
1312,1
1316,0
1322,1
1324,0
1334,1
1337,0
1354,1
1360,1
1367,0
1375,1
1387,1
1396,0
1401,1
1402,1
1414,1
1420,1
1432,1
1435,1
1458,1
1463,1
1472,1
1482,1
1488,0
1490,0
1495,1
1502,1
1505,1
1512,1
1513,0
1528,1
1529,0
1539,1
1541,1
1544,1
1553,0
1562,0
1569,1
1575,0
1578,1
1579,1
1582,1
1585,1
1588,1
1590,1
1592,1
1593,0
1594,1
1599,1
1603,1
1611,1
1613,1
1614,1
1622,1
1626,1
1631,1
1637,1
1640,0
1660,1
1666,1
1670,0
1675,0
1692,0
1694,0
1709,0
1721,1
1723,0
1725,1
1735,0
1740,1
1745,0
1778,1
1785,1
1799,1
1800,0
1803,0
1813,1
1816,1
1826,1
1829,1
1831,1
1832,1
1840,1
1848,1
1851,1
1855,1
1857,1
1858,1
1875,0
1880,0
1902,1
1904,1
1905,0
1907,1
1920,1
1922,1
1931,1
1947,0
1952,0
1958,1
1965,0
1979,1
1983,1
1989,1
1995,1
1998,1
1999,1
2011,1
2015,1
2016,1
2018,1
2025,0
2027,1
2034,1
2038,1
2039,0
2052,1
2059,1
2062,1
2077,1
2083,1
2092,1
2100,1
2103,1
2112,1
2129,0
2134,1
2142,1
2146,1
2162,1
2178,1
2179,0
2190,0
2192,1
2195,0
2196,1
2197,1
2206,1
2207,1
2208,1
2212,1
2217,0
2225,1
2230,1
2235,1
2242,1
2258,1
2264,1
2266,1
2268,0
2279,0
2284,1
2293,0
2294,1
2303,0
2316,0
2318,1
2319,1
2321,1
2322,1
2328,0
2331,1
2332,1
2333,0
2335,0
2342,1
2353,1
2365,1
2369,1
2375,1
2391,1
2395,1
2400,1
2401,1
2405,1
2421,0
2424,1
2439,1
2442,1
2458,1
2482,1
2495,1
2508,1
2521,1
2526,1
2537,1
2539,0
2541,1
2546,1
2566,0
2579,0
2583,1
2586,1
2588,1
2590,1
2602,0
2608,1
2611,1
2622,1
2627,1
2633,1
2639,1
2641,1
2650,1
2663,1
2667,1
2669,1
2676,0
2677,0
2687,1
2710,1
2712,1
2730,1
2733,1
2740,0
2742,0
2783,1
2785,1
2786,1
2793,0
2795,0
2797,1
2814,1
2817,0
2818,1
2831,1
2833,1
2835,1
2851,1
2860,1
2888,0
2901,0
2906,1
2911,1
2922,1
2934,1
2937,1
2962,0
2965,1
2977,1
2997,1
3003,0
3004,1
3018,1
3019,1
3028,1
3029,0
3031,0
3035,0
3041,1
3046,1
3055,1
3059,0
3064,1
3071,1
3073,1
3074,1
3081,0
3084,1
3085,1
3090,1
3096,1
3097,1
3100,1
3101,1
3116,1
3122,1
3125,1
3129,1
3135,0
3137,1
3170,1
3171,1
3172,1
3179,1
3187,1
3190,1
3193,0
3196,0
3229,1
3232,1
3236,1
3239,0
3246,1
3249,1
3254,1
3256,1
3265,1
3270,1
3274,0
3276,1
3285,1
3299,1
3301,1
3321,0
3341,1
3352,1
3353,1
3358,1
3360,1
3362,1
3383,1
3391,1
3392,1
3393,1
3401,1
3405,1
3409,1
3413,1
3418,0
3422,0
3424,1
