birth_1_value,birth_1_lower,birth_1_upper,birth_2_value,birth_2_lower,birth_2_upper,death_value,death_lower,death_upper,state_rate_value,state_rate_lower,state_rate_upper
2.630352973938e-01,-1.200948357582e-01,6.039963960648e-01,2.236605882645e-01,-2.285817265511e-01,5.906479358673e-01,2.659857273102e-02,-1.249837875366e-01,4.649142026901e-01,5.155026912689e-02,4.812240600586e-03,9.051275253296e-02
4.157426357269e-01,1.594246625900e-01,1.102294921875e+00,7.847733497620e-01,3.857027292252e-01,1.494923114777e+00,1.294859647751e-01,-1.196177005768e-01,8.471367359161e-01,4.480826854706e-02,-3.684324026108e-02,1.333566904068e-01
6.222258806229e-01,3.544518947601e-01,9.401121139526e-01,4.266067743301e-01,1.892386674881e-01,8.387892246246e-01,1.838922500610e-01,3.617608547211e-02,5.518437623978e-01,6.577312946320e-02,-1.152950525284e-02,9.773850440979e-02
4.937463998795e-01,2.829600572586e-01,1.039252996445e+00,4.652409553528e-01,1.825788021088e-01,8.846409320831e-01,2.029380798340e-01,-3.176844120026e-02,5.737733840942e-01,6.037318706512e-02,-1.360917091370e-02,1.015409231186e-01
7.652586698532e-01,3.717681169510e-01,9.669998884201e-01,3.301622867584e-01,1.176617145538e-01,7.515045404434e-01,1.417742967606e-01,1.147305965424e-02,4.883460998535e-01,5.895054340363e-02,-1.478749513626e-02,1.021680831909e-01
8.253641128540e-01,3.500905036926e-01,1.059342145920e+00,2.732300758362e-01,4.821598529816e-02,6.558214426041e-01,1.682877540588e-01,4.338741302490e-03,4.669332504272e-01,3.564751148224e-02,-1.631659269333e-02,1.000297069550e-01
9.085273742676e-01,3.531386852264e-01,9.447789192200e-01,2.814879417419e-01,7.742130756378e-02,6.938955783844e-01,1.047950983047e-01,-3.225827217102e-02,4.232820272446e-01,5.748748779297e-02,-1.871496438980e-02,9.517407417297e-02
5.595386028290e-01,2.308797836304e-01,1.185620784760e+00,8.510701656342e-01,2.952383756638e-01,1.332581758499e+00,2.714133262634e-01,-4.731994867325e-02,7.504218816757e-01,7.041764259338e-02,-2.880412340164e-02,1.239581108093e-01
1.869947910309e-01,1.409363746643e-01,1.290375709534e+00,5.459805727005e-01,2.943369150162e-01,1.500266075134e+00,1.188169717789e-01,-8.902734518051e-02,9.327259063721e-01,3.168761730194e-02,-3.052622079849e-02,1.340774297714e-01
4.472112655640e-01,1.907737255096e-01,1.120658397675e+00,4.230649471283e-01,1.393684148788e-01,8.526659011841e-01,2.119418382645e-01,-9.500497579575e-02,6.155542135239e-01,5.137777328491e-02,-1.819825172424e-02,1.080187559128e-01
3.926008939743e-01,6.776082515717e-02,5.200141668320e-01,3.537557125092e-01,-9.294444322586e-02,5.792970657349e-01,1.137394905090e-01,-7.811498641968e-02,3.590141534805e-01,5.177175998688e-02,1.629710197449e-03,6.495153903961e-02
4.203821420670e-01,1.556905508041e-01,1.186054229736e+00,3.798732757568e-01,5.537617206573e-02,7.341370582581e-01,1.889231204987e-01,-9.204071760178e-02,6.126164197922e-01,5.193412303925e-02,-1.865410804749e-02,1.085994243622e-01
7.850526571274e-01,3.949885368347e-01,9.492959976196e-01,2.899601459503e-01,9.485065937042e-02,6.624503135681e-01,1.685364246368e-01,2.534174919128e-02,4.463441371918e-01,4.294180870056e-02,-9.741187095642e-03,9.554553031921e-02
3.636583089828e-01,1.487318277359e-01,1.108361721039e+00,7.734295129776e-01,3.618917465210e-01,1.552232027054e+00,1.130728721619e-01,-1.188155412674e-01,8.750349283218e-01,3.945040702820e-02,-3.802514076233e-02,1.340570449829e-01
4.942985773087e-01,1.874499320984e-01,1.331259012222e+00,9.233882427216e-01,2.817609310150e-01,1.515592813492e+00,2.047681808472e-01,-7.130610942841e-02,8.592565059662e-01,6.126022338867e-02,-3.685712814331e-02,1.361783742905e-01
3.426868915558e-01,2.727854251862e-02,9.317005872726e-01,6.391792297363e-01,-9.031713008881e-03,1.214530229568e+00,1.456265449524e-01,-1.161761879921e-01,5.565879344940e-01,4.327821731567e-02,-2.051162719727e-02,1.031030416489e-01
