birth_1_value,birth_1_lower,birth_1_upper,birth_2_value,birth_2_lower,birth_2_upper,death_value,death_lower,death_upper,state_rate_value,state_rate_lower,state_rate_upper
2.630352973938e-01,-1.780762672424e-01,8.212774991989e-01,2.236605882645e-01,-2.264930009842e-01,7.365206480026e-01,2.659857273102e-02,-1.168221831322e-01,5.028916597366e-01,5.155026912689e-02,1.333546638489e-02,1.019035577774e-01
4.157426357269e-01,8.302426338196e-02,1.387076854706e+00,7.847733497620e-01,3.894549608231e-01,1.723723411560e+00,1.294859647751e-01,-1.114059686661e-01,8.950234651566e-01,4.480826854706e-02,-2.867317199707e-02,1.451950073242e-01
6.222258806229e-01,2.652001380920e-01,1.202924013138e+00,4.266067743301e-01,1.924587488174e-01,1.007418155670e+00,1.838922500610e-01,4.584085941315e-02,5.920753479004e-01,6.577312946320e-02,-3.144860267639e-03,1.092048883438e-01
4.937463998795e-01,1.984193325043e-01,1.315494775772e+00,4.652409553528e-01,1.857810020447e-01,1.057474613190e+00,2.029380798340e-01,-2.273750305176e-02,6.145732402802e-01,6.037318706512e-02,-5.242109298706e-03,1.130471229553e-01
7.652586698532e-01,2.813752889633e-01,1.233453989029e+00,3.301622867584e-01,1.206880807877e-01,9.121288061142e-01,1.417742967606e-01,2.090752124786e-02,5.269311666489e-01,5.895054340363e-02,-6.430387496948e-03,1.136807203293e-01
8.253641128540e-01,2.611261606216e-01,1.338305473328e+00,2.732300758362e-01,5.105435848236e-02,8.076707124710e-01,1.682877540588e-01,1.370656490326e-02,5.049630403519e-01,3.564751148224e-02,-7.972419261932e-03,1.115199327469e-01
9.085273742676e-01,2.639734745026e-01,1.208223104477e+00,2.814879417419e-01,8.033883571625e-02,8.492367267609e-01,1.047950983047e-01,-2.323180437088e-02,4.601804018021e-01,5.748748779297e-02,-1.039117574692e-02,1.066136360168e-01
5.595386028290e-01,1.497708559036e-01,1.481690168381e+00,8.510701656342e-01,2.987456321716e-01,1.546494245529e+00,2.714133262634e-01,-3.843390941620e-02,7.958011627197e-01,7.041764259338e-02,-2.056592702866e-02,1.356983184814e-01
1.869947910309e-01,6.575429439545e-02,1.600635051727e+00,5.459805727005e-01,2.978416681290e-01,1.729556322098e+00,1.188169717789e-01,-8.053040504456e-02,9.828315973282e-01,3.168761730194e-02,-2.230268716812e-02,1.459233760834e-01
4.472112655640e-01,1.123075485229e-01,1.407927513123e+00,4.230649471283e-01,1.424534320831e-01,1.022567272186e+00,2.119418382645e-01,-8.656382560730e-02,6.574372053146e-01,5.137777328491e-02,-9.870052337646e-03,1.195923089981e-01
