id1,id2,metric,variable,value
train,true,mean,birth_1,5.312865161628e-01
train,true,var,birth_1,7.980995907724e-02
train,true,lower95,birth_1,3.872323036194e-02
train,true,upper95,birth_1,9.724149703980e-01
train,est,mean,birth_1,5.760417765354e-01
train,est,var,birth_1,4.300882861864e-02
train,est,lower95,birth_1,2.249109029770e-01
train,est,upper95,birth_1,9.784595251084e-01
train,est,mae,birth_1,1.525922585671e-01
train,est,mse,birth_1,3.498461694129e-02
train,est,mape,birth_1,2.977194272200e+00
train,est,coverage,birth_1,8.639551192146e-01
train,est,mean_CI_width,birth_1,8.369790650852e-01
train,est,mean_rel_CI_width,birth_1,1.814963275635e+00
train,true,mean,birth_2,5.190210048146e-01
train,true,var,birth_2,8.216854246590e-02
train,true,lower95,birth_2,3.582017421722e-02
train,true,upper95,birth_2,9.834051370621e-01
train,est,mean,birth_2,5.289895375681e-01
train,est,var,birth_2,5.592757185814e-02
train,est,lower95,birth_2,1.605573654175e-01
train,est,upper95,birth_2,9.230538845062e-01
train,est,mae,birth_2,1.341816096620e-01
train,est,mse,birth_2,2.903793779493e-02
train,est,mape,birth_2,1.017851300719e+00
train,est,coverage,birth_2,9.396914446003e-01
train,est,mean_CI_width,birth_2,8.762268910569e-01
train,est,mean_rel_CI_width,birth_2,1.923047325566e+00
train,true,mean,death,1.714033719366e-01
train,true,var,death,2.520252915350e-02
train,true,lower95,death,1.578283309937e-03
train,true,upper95,death,5.608564615249e-01
train,est,mean,death,1.628586100663e-01
train,est,var,death,2.739202709531e-03
train,est,lower95,death,4.881463050842e-02
train,est,upper95,death,2.587372779846e-01
train,est,mae,death,1.095161797455e-01
train,est,mse,death,1.984868575434e-02
train,est,mape,death,2.894771886347e+01
train,est,coverage,death,9.551192145863e-01
train,est,mean_CI_width,death,6.907113920087e-01
train,est,mean_rel_CI_width,death,3.740610541686e+00
train,true,mean,state_rate,5.172520065040e-02
train,true,var,state_rate,7.687621814958e-04
train,true,lower95,state_rate,2.896118164062e-03
train,true,upper95,state_rate,9.652061462402e-02
train,est,mean,state_rate,5.292435548416e-02
train,est,var,state_rate,1.733539384665e-04
train,est,lower95,state_rate,2.612230777741e-02
train,est,upper95,state_rate,7.527165412903e-02
train,est,mae,state_rate,1.864152536486e-02
train,est,mse,state_rate,4.936146373503e-04
train,est,mape,state_rate,1.572374641224e+00
train,est,coverage,state_rate,9.691444600281e-01
train,est,mean_CI_width,state_rate,1.326785606723e-01
train,est,mean_rel_CI_width,state_rate,2.729372940010e+00
test,true,mean,birth_1,5.197138745524e-01
test,true,var,birth_1,9.232894138738e-02
test,true,lower95,birth_1,1.556289296132e-02
test,true,upper95,birth_1,9.776339173317e-01
test,est,mean,birth_1,5.703034003276e-01
test,est,var,birth_1,4.532810797001e-02
test,est,lower95,birth_1,2.380369599338e-01
test,est,upper95,birth_1,9.951977967010e-01
test,est,mae,birth_1,1.685798525707e-01
test,est,mse,birth_1,4.238434562173e-02
test,est,mape,birth_1,2.411320556697e+00
test,est,coverage,birth_1,8.000000000000e-01
test,est,mean_CI_width,birth_1,8.270666219478e-01
test,est,mean_rel_CI_width,birth_1,1.772955496465e+00
test,true,mean,birth_2,5.109733062284e-01
test,true,var,birth_2,6.925841873001e-02
test,true,lower95,birth_2,6.965895108878e-02
test,true,upper95,birth_2,9.582848832011e-01
test,est,mean,birth_2,5.178361856681e-01
test,est,var,birth_2,5.507863995287e-02
test,est,lower95,birth_2,1.443935402644e-01
test,est,upper95,birth_2,9.254995841978e-01
test,est,mae,birth_2,1.384399364099e-01
test,est,mse,birth_2,3.222304260218e-02
test,est,mape,birth_2,3.527744915366e+00
test,est,coverage,birth_2,9.000000000000e-01
test,est,mean_CI_width,birth_2,8.614390276775e-01
test,est,mean_rel_CI_width,birth_2,1.887169764845e+00
test,true,mean,death,1.575223175436e-01
test,true,var,death,1.991730338288e-02
test,true,lower95,death,5.321765912231e-03
test,true,upper95,death,4.499320372939e-01
test,est,mean,death,1.589685603918e-01
test,est,var,death,2.276269154815e-03
test,est,lower95,death,7.162367734419e-02
test,est,upper95,death,2.288064977065e-01
test,est,mae,death,1.100184418694e-01
test,est,mse,death,1.755106207683e-02
test,est,mape,death,7.378027210439e+00
test,est,coverage,death,9.800000000000e-01
test,est,mean_CI_width,death,6.660439878185e-01
test,est,mean_rel_CI_width,death,3.116327660481e+00
test,true,mean,state_rate,4.340833917726e-02
test,true,var,state_rate,9.063391336018e-04
test,true,lower95,state_rate,5.385506119637e-04
test,true,upper95,state_rate,9.582024551928e-02
test,est,mean,state_rate,5.174350115884e-02
test,est,var,state_rate,1.717286054761e-04
test,est,lower95,state_rate,2.696733759830e-02
test,est,upper95,state_rate,7.624433049036e-02
test,est,mae,state_rate,2.241004459882e-02
test,est,mse,state_rate,7.024807841738e-04
test,est,mape,state_rate,8.418104512582e+00
test,est,coverage,state_rate,9.200000000000e-01
test,est,mean_CI_width,state_rate,1.281218773923e-01
test,est,mean_rel_CI_width,state_rate,2.688304014588e+00
