name,mean,sd
tree_length,7.113022327423e+00,9.687536954880e-01
root_age,2.812268495560e+00,4.932598769665e-01
brlen_mean,1.074170708656e+00,3.838452696800e-01
age_mean,1.546962261200e+00,4.467201530933e-01
B1,5.199512958527e+00,8.797801733017e-01
colless,3.960218280554e-02,5.272813886404e-02
age_var,2.199634552002e+00,9.190623760223e-01
brlen_var,1.411622285843e+00,8.264863491058e-01
treeness,3.424597084522e-01,4.804858565331e-02
N_bar,2.477520227432e+00,2.098023146391e-01
n_dat_0,4.723301887512e+00,1.410235047340e+00
n_dat_1,4.664840698242e+00,1.417101860046e+00
num_taxa,5.827036857605e+00,8.852610588074e-01
prop_taxa,6.931458711624e-01,1.311302185059e-06
sample_frac,2.704011797905e-01,1.930613219738e-01
