param,i,j,value
w,0,0,0.3973339952
w,1,1,0.3973339952
w,2,2,0.3973339952
e,0,0,0.0750191432
e,1,1,0.0750191432
e,2,2,0.0750191432
d,0,0,0.1301353902
d,0,1,0.1301353902
d,0,2,0.1301353902
d,1,0,0.1301353902
d,1,1,0.1301353902
d,1,2,0.1301353902
d,2,0,0.1301353902
d,2,1,0.1301353902
d,2,2,0.1301353902
b,0,0,0.2647140277
b,0,1,0.2647140277
b,0,2,0.2647140277
b,1,0,0.2647140277
b,1,1,0.2647140277
b,1,2,0.2647140277
b,2,0,0.2647140277
b,2,1,0.2647140277
b,2,2,0.2647140277
x,0,0,0.0750191432
x,1,1,0.0750191432
x,2,2,0.0750191432
