taxa,data
3,0
4,0
7,0
8,0
14,0
15,1
16,1
17,0
18,0
20,1
24,0
26,0
28,0
31,0
32,0
33,1
34,1
36,1
37,0
40,0
41,0
43,0
47,0
49,1
51,1
56,1
62,1
63,1
64,1
65,1
68,1
70,0
73,1
74,0
77,0
78,0
84,1
85,0
94,1
97,1
101,1
104,0
105,1
106,0
110,1
111,1
113,0
114,0
115,1
117,1
119,1
121,0
122,0
124,1
126,1
127,0
132,1
133,0
134,1
141,1
143,1
145,0
146,1
149,1
151,0
153,1
154,0
155,1
157,1
165,0
167,1
168,0
172,0
176,1
180,0
181,1
182,1
185,1
187,1
188,1
190,1
191,0
194,0
195,0
202,1
208,1
209,1
211,0
212,1
214,1
217,1
218,1
219,1
222,0
228,1
229,1
240,1
245,0
248,0
249,0
250,1
253,1
254,0
255,0
256,1
259,1
263,1
264,1
266,0
269,1
271,1
275,1
278,1
280,1
284,1
286,1
287,0
288,0
292,1
293,1
298,0
300,1
301,1
304,0
305,1
306,1
307,0
309,1
310,1
312,1
315,1
318,1
319,1
320,1
321,1
322,1
323,1
329,1
330,1
331,1
332,1
336,1
337,1
338,1
340,1
341,1
342,1
343,1
346,1
347,1
348,1
349,1
352,1
353,1
355,1
356,1
363,1
374,0
375,0
376,1
377,1
381,1
385,1
388,1
389,1
390,0
393,1
394,1
395,1
404,1
405,1
406,1
407,1
408,1
410,1
411,1
412,1
413,1
415,1
416,1
417,1
418,1
419,1
426,1
429,1
430,1
434,1
436,1
438,1
441,0
443,0
447,1
448,0
449,1
452,1
453,1
454,1
457,1
459,1
460,1
462,1
464,1
465,1
467,1
468,1
469,1
470,1
473,1
474,1
479,1
481,1
482,1
485,1
487,1
488,1
489,1
491,1
492,1
493,1
494,1
497,1
499,1
501,1
503,1
505,1
507,1
509,0
511,1
513,1
518,1
519,1
521,1
523,1
526,1
527,1
528,1
529,1
530,1
534,0
536,0
541,1
545,1
546,1
549,1
550,1
554,1
555,1
556,1
557,1
558,0
560,1
562,1
565,1
569,1
570,0
571,0
575,1
577,1
579,1
580,1
582,1
585,1
586,1
587,1
590,1
595,1
596,1
598,0
599,1
600,1
601,1
603,1
605,1
606,1
611,1
612,1
618,1
621,1
622,1
623,1
625,1
630,1
633,1
634,1
635,1
648,1
649,1
651,1
652,1
654,1
655,1
659,1
662,1
664,1
665,1
666,1
669,1
670,1
671,0
673,1
674,0
675,1
676,1
678,1
679,1
680,1
682,1
686,1
687,1
689,1
691,1
692,1
694,1
695,0
697,1
699,1
700,1
701,1
703,1
705,1
706,1
707,1
708,1
709,1
714,1
720,1
721,1
722,1
724,1
727,1
729,1
733,1
735,1
736,1
740,1
741,1
742,1
743,0
748,1
750,1
752,1
753,1
755,1
757,1
758,1
763,1
765,1
771,1
774,1
777,1
781,1
782,1
787,1
789,1
790,1
794,1
797,1
798,1
799,1
801,1
802,1
808,1
810,1
811,1
812,1
814,1
818,1
819,1
822,1
823,1
824,1
825,1
827,1
828,0
830,1
831,1
832,1
835,1
836,1
840,1
841,1
849,1
854,1
857,1
858,1
862,1
864,1
865,1
870,1
874,1
880,1
882,1
883,0
884,1
888,1
892,1
893,1
895,1
897,1
899,1
906,1
908,1
910,1
912,1
918,1
921,1
926,1
930,1
932,1
934,1
935,1
937,1
938,1
940,1
942,1
944,1
946,1
947,1
950,1
952,1
955,1
959,1
961,1
962,1
963,1
968,1
969,1
973,1
979,1
983,1
984,1
986,1
989,1
990,1
991,1
995,1
997,1
999,1
1001,1
1003,1
1005,1
1006,1
1007,1
1012,1
1017,1
1018,1
1024,1
1026,1
1028,1
1030,1
1031,1
1032,1
1034,1
1035,1
1036,1
1037,1
1042,1
1043,1
1045,1
1046,1
1048,1
1050,1
1052,1
1055,1
1056,1
1060,1
1063,1
1064,1
1067,1
1071,1
1073,1
1075,1
1076,1
1077,1
1079,1
1080,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1094,1
1103,1
1105,1
1106,1
1107,1
1108,1
1111,1
1112,1
1116,1
1117,1
1118,1
1122,1
1126,1
1128,1
1131,1
1134,1
1135,1
