param,i,j,value
w,0,0,0.3421092038
w,1,1,0.3421092038
w,2,2,0.3421092038
e,0,0,0.1417974267
e,1,1,0.1417974267
e,2,2,0.1417974267
d,0,0,0.1604182143
d,0,1,0.1604182143
d,0,2,0.1604182143
d,1,0,0.1604182143
d,1,1,0.1604182143
d,1,2,0.1604182143
d,2,0,0.1604182143
d,2,1,0.1604182143
d,2,2,0.1604182143
b,0,0,0.0179489438
b,0,1,0.0179489438
b,0,2,0.0179489438
b,1,0,0.0179489438
b,1,1,0.0179489438
b,1,2,0.0179489438
b,2,0,0.0179489438
b,2,1,0.0179489438
b,2,2,0.0179489438
x,0,0,0.1417974267
x,1,1,0.1417974267
x,2,2,0.1417974267
